S. SALVATORE TELESINO,San Salvatore Telesino
S. GIORGIO LA MOLARA,San Giorgio La Molara
S. GIORGIO DEL SANNIO,San Giorgio del Sannio
S.ARCANGELO TRIMONTE,Sant'Arcangelo Trimonte
S. MARTINO SANNITA,San Martino Sannita
BARTOLOMEO IN GALDO,San Bartolomeo in Galdo
