Telese Terme (Bn),Telese Terme
Casamicciola Terme (Na) ,Casamicciola Terme
Ariano Irpino (Av) ,Ariano Irpino
Cava de'Tirreni ,Cava de' Tirreni
Ascea (SA),Ascea
