Massalubrense,Massa Lubrense
Gricignano d'Aversa,Gricignano di Aversa
Capaccio,Capaccio Paestum
Mignano Montelungo,Mignano Monte Lungo
Sant’Agata de’ Goti,Sant'Agata de' Goti
Sanat Paolina,Santa Paolina
Sant’Angelo all’Esca,Sant'Angelo all'Esca
Sant'Angelo di Alife,Sant'Angelo d'Alife
San Leucio,San Lucido
Sant'Agata dei Goti,Sant'Agata de' Goti
