ID;Azienda;Ente_Committente;Indirizzo;Cap;Comune;Provincia;Regione
63;IERVOLINO SNC;CITTA METROPOLITANA DI NAPOLI;VIA CARMINE 6;80049;SOMMA VESUVIANA;NAPOLI;CAMPANIA
64;IORIO ANGELO SRL CON SOCIO UNICO;PROVINCIA BENEVENTO/REGIONE CAMPANIA;VICO OSPEDALE VICO OSPEDALE 2;82026;MORCONE;BENEVENTO;CAMPANIA
65;LAUDATI S.R.L.;PROVINCIA BENEVENTO/REGIONE CAMPANIA;VIA G.M.GALANTI 22;82020;BENEVENTO;BENEVENTO;CAMPANIA
66;LAUDATO FIORE S.R.L;PROVINCIA CASERTA/REGIONE CAMPANIA;VIA SS 7 APPIA 43;81100;CASERTA;CASERTA;CAMPANIA
68;MAZZONE TURISMO DI LUCA MAZZONE & C.;PROVINCIA BENEVENTO/REGIONE CAMPANIA;CORSO DANTE 54;82100;BENEVENTO;BENEVENTO;CAMPANIA
69;MINELLA SAS;PROVINCIA SALERNO;VIA G. VICINANZA 16;84123;SALERNO;SALERNO;CAMPANIA
70;MIRANTETUR S.R.L.;CITTA METROPOLITANA DI NAPOLI;CALATA CAPODICHINO 108;80141;NAPOLI;NAPOLI;CAMPANIA
71;MOBILITY AMALFI COAST S.R.L.;PROVINCIA SALERNO;VIA G.CAPRIGLIONE 1;84010;PRAIANO;SALERNO;CAMPANIA
72;MORRIELLO GREGORIO & C. SNC;PROVINCIA SALERNO/REGIONE CAMPANIA;CONTRADA TEGLIA 54;84021;BUCCINO;SALERNO;CAMPANIA
73;MOT.TAM;REGIONE CAMPANIA/PROVINCIA BENEVENTO;C.DA SAN PAOLO 3;82020;REINO;BENEVENTO;CAMPANIA
74;PALMENTIERI ANTONIO;REGIONE CAMPANIA;CONTRADA TORRICELLA 430;84025;EBOLI;SALERNO;CAMPANIA
75;RISPOLI SRL;PROVINCIA BENEVENTO/REGIONE CAMPANIA;LARGO FONTANA 9;82027;CASALDUNI;BENEVENTO;CAMPANIA
76;ROMANO BUS DI ROMANO MASCIA VITO & FIGLIO SNC;CITTA METROPOLITANA DI NAPOLI;VIA NOLA 436;80036;PALMA CAMPANIA;NAPOLI;CAMPANIA
77;S.A.T. DI ANTONIO IUZZOLINO & C. S.N.C.;PROVINCIA SALERNO;VIA ROSCHITO VIA ROSCHITO 33;84020;SAN GREGORIO MAGNO;SALERNO;CAMPANIA
78;S.C.A.M. S.R.L.;REGIONE CAMPANIA/PROVINCIA CASERTA;VIA ENRICO MATTEI 23;81100;CASERTA;CASERTA;CAMPANIA
79;SANTOMAURO COSIMO SNC;PROVINCIA SALERNO;VIA TEMPALTA 105;84069;ROCCADASPIDE;SALERNO;CAMPANIA
81;SIPPIC FUNICOLARE DI CAPRI SRL;CITTA METROPOLITANA DI NAPOLI;VIA RIVIERA DI CHIAIA 242;80121;NAPOLI;NAPOLI;CAMPANIA
82;STAIANO AUTOTRASPORTI S.R.L.;CITTA METROPOLITANA DI NAPOLI/COMUNE CAPRI;VIA FILIETTO 9/E;80071;ANACAPRI;NAPOLI;CAMPANIA
85;VIAGGI DI MAIO SRL;PROVINCIA AVELLINO/REGIOEN CAMPANIA;VIA PITTOLI 188;83045;CALITRI;AVELLINO;CAMPANIA
86;VIAGGI LUCIO SRL;CITTA METROPOLITANA DI NAPOLI;VIA SOMMA 292;80034;MARIGLIANO;NAPOLI;CAMPANIA
