Id_Ente;Latitudine;Longitudine;TipologiaSoggetti;Codifica;CategoriaEnte;SottoCategoriaEnte;DenominazioneEnte;Indirizzo;Cap;Comune;Socio_1;Socio_2;Socio_3
28655;40,7964;14,078;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;Centro Ittico Campano Spa;VIA LUNGOLAGO, 4;80070;Bacoli;COMUNE DI BACOLI 99,99%;;
28656;40,8322;14,2491;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0391 - Societa e fondazioni a partecipazione regionale;SVILUPPO CAMPANIA S.P.A.;VIA SANTA LUCIA, 81;80132;NAPOLI;REGIONE CAMPANIA 100%;;
28657;40,8441;14,2554;Imprese pubbliche locali;c;021 - Consorzi e Forme associative;0212 - Forme associative di livello sub-regionale;Consorzio Technapoli;VIA S.ASPRENO, 2;80133;NAPOLI;CC.I.AA. NAPOLI;UNIVERSITA' DEGLI STUDI FEDERICO II;"UNIVERSITA' DEGLI STUDI ""L'ORIENTALE"""
28659;40,818;14,1749;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;CRDC NUOVE TECNOLOGIE PER LE ATTIVITA' PRODUTTIVE - SOCIETA' CONSORTILE A RESPONSABILITA' LIMITATA;VIA NUOVA AGNANO, 11;80125;NAPOLI;UNIVERSITA' DEGLI STUDI DI NAPOLI FEDERICO II 34,04%;CONSIGLIO NAZIONALE DELLE RICERCHE   C.N.R. 25,53%;II UNIVERSITA' DEGLI STUDI DI NAPOLI 15,96%
28660;40,818;14,1749;Imprese pubbliche locali;c;041 - Enti non altrove classificati;0411 - Enti non altrove classificati di livello regionale;AMRA - ANALISI E MONITORAGGIO DEL RISCHIO AMBIENTALE - SOCIETA' C NSORTILE A RESPONSABILITA' LIMITAT;VIA NUOVA AGNANO, 11;80125;NAPOLI;UNIVERSITA' DEGLI STUDI FEDERICO II 54%;C.N.R. 15%;II UNIVERSITA' DEGLI STUDI DI NAPOLI 10,5%
28661;40,678;14,7594;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;FONDAZIONE CULTURA, RICERCA, INNOVAZIONE E SVILUPPO DELLA PROVINCIA DI SALERNO;VIA ROMA, 104;84121;SALERNO;PROVINCIA DI SALERNO 100%;;
17140;41,0818;14,343;Imprese pubbliche locali;c;022 - Aziende e istituzioni;0221 - Aziende e istituzioni di livello regionale;IACP Caserta;VIA E RUGGIERO, 45;81100;CASERTA;REGIONE CAMPANIA 100%;;
17141;40,8326;14,2435;Imprese pubbliche locali;c;022 - Aziende e istituzioni;0221 - Aziende e istituzioni di livello regionale;IACP Napoli;Via Domenico Morelli, 75;80121;NAPOLI;REGIONE CAMPANIA 100%;;
28663;40,9684;14,268;Imprese pubbliche locali;c;039 - Societa e fondazioni Partecipate;0392 - Societa e fondazioni a partecipazione sub-regionale;ACQUEDOTTI S.C.P.A.;VIA GARIBALDI, 77;81030;ORTA DI ATELLA;OTTO GAS-S.R.L. 49%;COMUNE DI ORTA DI ATELLA 37,75%;COMUNE DI ACERRA 4,0%
17142;40,6812;14,7719;Imprese pubbliche locali;c;022 - Aziende e istituzioni;0221 - Aziende e istituzioni di livello regionale;IACP Salerno;VIA A. ALI, 1;84124;SALERNO;REGIONE CAMPANIA 100%;;
