Comune;Istat;Dato riferito a;Popolazione (n. abitanti);RD(t);RU(t);Percentuale RD;Pro capite RD (kg/ab.*anno);Pro capite RU (kg/ab.*anno)
Senerchia;15064098;Comune;804;91,41;158,97;57.5;113.69;197.72
Serino;15064099;Comune;6.968;1.377,74;2.483,44;55.48;197.72;356.41
Sirignano;15064100;Comune;2.863;932,292;1.006,49;92.63;325.63;351.55
Solofra;15064101;Comune;12.470;2.390,78;4.052,02;59;191.72;324.94
Sorbo Serpico;15064102;Comune;602;92,813;167,453;55.43;154.17;278.16
Sperone;15064103;Comune;3.747;1.205,60;1.276,14;94.47;321.75;340.58
Sturno;15064104;Comune;3.038;627,578;937,498;66.94;206.58;308.59
Summonte;15064105;Comune;1.577;283,671;419,911;67.56;179.88;266.27
Taurano;15064106;Comune;1.512;353,625;413,925;85.43;233.88;273.76
Taurasi;15064107;Comune;2.316;434,593;666,333;65.22;187.65;287.71
Teora;15064108;Comune;1.494;283,97;446,95;63.54;190.07;299.16
Torella dei Lombardi;15064109;Comune;2.081;238,03;411,83;57.8;114.38;197.9
Torre Le Nocelle;15064110;Comune;1.263;219,05;362,47;60.43;173.44;286.99
Torrioni;15064111;Comune;543;37,887;84,747;44.71;69.77;156.07
Trevico;15064112;Comune;932;177,854;254,554;69.87;190.83;273.13
Tufo;15064113;Comune;854;131,044;265,404;49.38;153.45;310.78
Vallata;15064114;Comune;2.659;374,578;889,188;42.13;140.87;334.41
Vallesaccarda;15064115;Comune;1.326;245,365;387,245;63.36;185.04;292.04
Venticano;15064116;Comune;2.539;411,871;897,371;45.9;162.22;353.43
Villamaina;15064117;Comune;977;147,805;263,325;56.13;151.28;269.52
Villanova del Battista;15064118;Comune;1.619;307,592;441,652;69.65;189.99;272.79
Volturara Irpina;15064119;Comune;3.207;647,593;1.036,15;62.5;201.93;323.09
Zungoli;15064120;Comune;1.073;190,525;272,845;69.83;177.56;254.28
