bartolomeo in galdo,San Bartolomeo in Galdo
castelvetere fortore,Castelvetere in Val Fortore
s. giorgio del sannio,San Giorgio del Sannio
s. giorgio la molara,San Giorgio La Molara
s. martino sannita,San Martino Sannita
s. salvatore telesino,San Salvatore Telesino
s.arcangelo trimonte,Sant'Arcangelo Trimonte
