S. SALVATORE TELESINO,San Salvatore Telesino
S. GIORGIO LA MOLARA,San Giorgio La Molara
S. GIORGIO DEL SANNIO,San Giorgio del Sannio
S.ARCANGELO TRIMONTE,Sant'Arcangelo Trimonte
BARTOLOMEO IN GALDO,San Bartolomeo in Galdo
S. MARTINO SANNITA,San Martino Sannita
